                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.063,                 2.7091,                 1.2543,                0.00508,                0.87143,                0.34483,                0.23241,                 1.1757,                 3.3774,                 1.1753,                 0.0829,                 0.0019,                 0.0019
                      1,                0.97259,                 1.8183,                 1.1846,                 0.8743,                0.39753,                0.57229,                0.39449,                 1.2208,                 3.0806,                 1.1768,               0.064707,              0.0037069,              0.0037069
                      2,                 0.9809,                 1.4607,                 1.1435,                 0.9665,                    0.3,                0.51989,                0.36983,                 1.2341,                 2.5827,                 1.2179,               0.046316,              0.0053159,              0.0053159
                      3,                0.98599,                 1.3059,                 1.1597,                0.80478,                0.35344,                0.46203,                0.35341,                 1.3498,                 2.6237,                  1.387,               0.027727,              0.0067268,              0.0067268
                      4,                 0.9954,                  1.271,                  1.141,                0.75671,                0.58571,                0.60367,                0.38272,                 1.3906,                 2.0605,                 1.4212,              0.0089398,              0.0079398,              0.0079398
                      5,                0.94712,                 1.1459,                 1.1191,                0.69254,                0.57927,                0.61005,                0.39498,                 1.4337,                 2.0531,                 1.4494,               0.007525,               0.007525,               0.007525
                      6,                0.90323,                 1.1127,                 1.0971,                0.79818,                0.50856,                0.60209,                0.38807,                 1.4711,                 1.9849,                 1.4834,               0.007525,               0.007525,               0.007525
                      7,                  0.911,                 1.0903,                 1.1085,                0.61664,                0.51429,                0.51566,                0.32303,                 1.5117,                 2.1615,                    1.7,                0.00703,                0.00703,                0.00703
                      8,                0.91714,                 1.0423,                 1.1126,                0.61669,                0.59761,                0.58048,                0.37706,                  1.492,                 1.8971,                 1.5975,               0.006535,               0.006535,               0.006535
                      9,                0.90652,                 1.0187,                 1.1067,                0.66236,                0.53251,                 0.5711,                0.34895,                  1.463,                 1.8681,                 1.6149,                0.00604,                0.00604,                0.00604
                     10,                0.89599,                0.96395,                 1.0967,                0.67164,                0.52602,                0.58871,                 0.3511,                 1.4864,                 1.9716,                 1.5169,               0.005545,               0.005545,               0.005545
                     11,                 0.8482,                0.91887,                 1.0639,                0.64519,                0.55714,                0.57604,                0.36149,                 1.4438,                  1.968,                 1.5298,                0.00505,                0.00505,                0.00505
                     12,                0.81285,                0.87606,                 1.0705,                 0.7183,                0.64286,                0.63243,                0.41418,                 1.3951,                 1.8262,                 1.4351,               0.004555,               0.004555,               0.004555
                     13,                0.81128,                 0.8581,                 1.0595,                0.64795,                0.67143,                0.62576,                0.39019,                 1.4316,                 1.8289,                 1.4172,                0.00406,                0.00406,                0.00406
                     14,                0.78999,                0.83858,                 1.0529,                0.66233,                0.65714,                0.67221,                0.41775,                 1.3907,                 1.6344,                 1.4141,               0.003565,               0.003565,               0.003565
                     15,                0.75289,                0.79207,                  1.036,                0.84083,                0.52828,                0.64247,                0.39288,                 1.4061,                 1.7956,                 1.4125,                0.00307,                0.00307,                0.00307
                     16,                  0.736,                 0.7647,                 1.0197,                0.72766,                0.61077,                0.66316,                 0.4116,                 1.3618,                 1.7578,                 1.3583,               0.002575,               0.002575,               0.002575
                     17,                0.71221,                0.75319,                 1.0049,                0.70711,                0.61429,                0.66324,                0.42384,                 1.3465,                 1.6696,                 1.3733,                0.00208,                0.00208,                0.00208
                     18,                0.70296,                0.70896,                0.99483,                0.67669,                0.61429,                0.66167,                0.42259,                 1.3646,                 1.6918,                 1.4368,               0.001585,               0.001585,               0.001585
                     19,                0.69751,                0.70325,                0.99952,                0.73027,                0.61429,                0.66826,                0.42783,                 1.3289,                 1.7028,                 1.4059,                0.00109,                0.00109,                0.00109
